Username,Handle,Timestamp,Comments,Likes,Retweets,Text
Old War Horse,@oldwarhorse11,2020-12-11T00:04:16.000Z,"#ICYMI  - Before .
@CNN
  became a  conspiracy theory comedy show they tried news in 2006- Smartmatic- sequoia - Dominion - Chavez - Venezuela - Harris.... Check it out #MAGAThe following media includes potentially sensitive content. Change settings
View",4K,14.1K,37.7K
Melissa Tate,@TheRightMelissa,2020-12-11T14:29:26.000Z,"Replying to 
@realDonaldTrumpJoe Biden will not set foot in that White House. 170k votes in Michigan have just been discovered to not have a trace to a registered voter in Michigan.",22.2K,30.6K,105.5K
Donald J. Trump,@realDonaldTrump,2020-12-11T15:32:54.000Z,"“Donald Trump must get the credit for the vaccines. It is a miracle.”  
@Varneyco",58.9K,33.8K,212.3K
Donald J. Trump,@realDonaldTrump,2020-12-11T14:15:50.000Z,"Now it turns out that the Democrats want the Pack the Court with 26 Justices. This would be terrible, and must be stopped. Even Justice RBG was strongly opposed!",30.1K,41.6K,193.1K
Donald J. Trump,@realDonaldTrump,2020-12-11T13:16:21.000Z,"Now that the Biden Administration will be a scandal plagued mess for years to come, it is much easier for the Supreme Court of the United States to follow the Constitution and do what everybody knows has to be done. They must show great Courage & Wisdom. Save the USA!!!",60K,66.7K,276.3K
Donald J. Trump,@realDonaldTrump,2020-12-11T12:52:27.000Z,"Now it turns out that my phone call to the President of Ukraine, which many, including me, have called “perfect”, was even better than that. I predicted Biden corruption, said to call the A.G., who perhaps knew of the corruption during the impeachment hoax?",20.2K,43.9K,207.3K
Donald J. Trump,@realDonaldTrump,2020-12-11T12:26:20.000Z,I just want to stop the world from killing itself!,96.6K,134.2K,602.1K
Donald J. Trump,@realDonaldTrump,2020-12-11T12:22:34.000Z,"The Swine Flu (H1N1), and the attempt for a vaccine by the Obama Administration, with Joe Biden in charge, was a complete and total disaster. Now they want to come in and take over one of the “greatest and fastest medical miracles in modern day history.” I don’t think so!",27.2K,35.3K,176.8K
Donald J. Trump,@realDonaldTrump,2020-12-11T12:11:27.000Z,"While my pushing the money drenched but heavily bureaucratic 
@US_FDA
 saved five years in the approval of NUMEROUS great new vaccines, it is still a big, old, slow turtle. Get the dam vaccines out NOW, Dr. Hahn 
@SteveFDA
. Stop playing games and start saving lives!!!",16.8K,25.2K,124.4K
Donald J. Trump,@realDonaldTrump,2020-12-11T11:49:26.000Z,"No war with North Korea, tamed fighting in Idlib Province and many other places. NO WARS STARTED BY U.S., Troop removals all over, and so much more. Thank you Larry!Quote Tweet
Larry Elder
@larryelder
 · Dec 10
Where's the apology to @realDonaldTrump, Mr. Kerry? Maybe @BarackObama can give his Nobel Peace Prize to someone who actually deserves it.

#TrumpDerangementSyndrome twitter.com/HillelNeuer/st…",11.1K,31.8K,146.9K
Donald J. Trump,@realDonaldTrump,2020-12-11T05:26:11.000Z,"6:50
481.3K views
From 
Team Trump (Text TRUMP to 88022)
This claim about election fraud is disputed",10.5K,24.3K,88.2K
Donald J. Trump,@realDonaldTrump,2020-12-11T05:25:57.000Z,"From 
Team Trump (Text TRUMP to 88022)",8.4K,24.9K,91K
Donald J. Trump,@realDonaldTrump,2020-12-11T05:14:34.000Z,"From 
Team Trump (Text TRUMP to 88022)",8.3K,23.8K,112.2K
Donald J. Trump,@realDonaldTrump,2020-12-11T04:41:33.000Z,"2:53
556.4K views
From 
Newsmax
This claim about election fraud is disputed",7.8K,18.7K,74.6K
Donald J. Trump,@realDonaldTrump,2020-12-11T04:36:32.000Z,"From 
Team Trump (Text TRUMP to 88022)",5.9K,19.9K,81.9K
Donald J. Trump,@realDonaldTrump,2020-12-11T04:16:31.000Z,"4:11
1.3M views
From 
Lou Dobbs
This claim about election fraud is disputed",7.5K,21.9K,80.1K
Donald J. Trump,@realDonaldTrump,2020-12-11T00:39:27.000Z,"No Presidential candidate ever came even close to losing an Election who won Iowa, Florida and Ohio. I won all three, by a lot!",37.4K,47.5K,264.2K
Donald J. Trump,@realDonaldTrump,2020-12-11T00:34:15.000Z,"So true, a must read!Fox News’ Media Suicide | The American Spectator | USA News and Politics
Like a million former Fox News viewers, I turned off the channel, probably for good, adding to its current ratings meltdown.
spectator.org",9K,28.8K,108K
Lee Zeldin,@RepLeeZeldin,2020-12-10T23:12:04.000Z,"The lawsuit filed by TX to the Supreme Court & supported by MANY others throughout the US is a very strong, compelling argument in favor of & defending the constitution, law, & LEGAL voters of GA, PA, MI & WI, etc. It's a must read detailing eye-popping, confirmed wrongdoing.",7.6K,17.5K,63.7K
Donald J. Trump,@realDonaldTrump,2020-12-10T21:23:06.000Z,"Presidential Message on Hanukkah, 2020 | The White House
During this holiday season, the First Lady and I send our warmest greetings to the millions of Jewish people in the United States and around the world as t
whitehouse.gov",7.9K,16.6K,86.5K
Donald J. Trump,@realDonaldTrump,2020-12-10T20:24:36.000Z,,27.5K,41.3K,174.7K
